id,dbXRefs,ICD10,All_ICD_counts,f41202_ICD_counts,ICD10_all_freq
MONDO_0008706,K00.2,K00,4.0,2.0,0.0007958361850796633
MONDO_0009780,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0010275,G11.4,G11,29.0,12.0,0.0057698123418275585
MONDO_0010275,Q77.7,Q77,9.0,5.0,0.0017906314164292422
MONDO_0011469,D61.0,D61,19.0,8.0,0.0037802218791284
MONDO_0007227,Q74.8,Q74,5.0,2.0,0.000994795231349579
MONDO_0007395,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0007443,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0007852,Q82.8,Q82,86.0,52.0,0.01711047797921276
MONDO_0008123,Q78.8,Q78,3.0,0.0,0.0005968771388097474
MONDO_0008693,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0009156,Q74.8,Q74,5.0,2.0,0.000994795231349579
MONDO_0009181,Q81.0,Q81,2.0,0.0,0.0003979180925398316
MONDO_0009824,E74.8,E74,5.0,0.0,0.000994795231349579
MONDO_0010531,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0010891,D58.8,D58,2.0,1.0,0.0003979180925398316
MONDO_0011785,G11.4,G11,29.0,12.0,0.0057698123418275585
MONDO_0012143,D58.8,D58,2.0,1.0,0.0003979180925398316
MONDO_0012396,E16.1,E16,50.0,30.0,0.00994795231349579
MONDO_0012502,M11.2,M11,73.0,22.0,0.014524010377703853
MONDO_0005835,D48.9,D48,41.0,21.0,0.008157320897066549
MONDO_0008741,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0008939,Q04.3,Q04,2.0,0.0,0.0003979180925398316
MONDO_0010156,G11.4,G11,29.0,12.0,0.0057698123418275585
MONDO_0010689,G60.0,G60,101.0,31.0,0.020094863673261496
MONDO_0012570,D68.4,D68,15.0,5.0,0.002984385694048737
MONDO_0012854,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0010541,M85.2,M85,18.0,0.0,0.0035812628328584844
MONDO_0010708,Q87.8,Q87,28.0,5.0,0.005570853295557642
