Topic,First occurrence year,First valid occurrence date,reviews,research_review_ratio,reviews_div_research,reviews_ratio,Years from First ever occurrence to (first valid) Start date,Years since Start date,# Years of Topic coverage in dataset (After dates filtering),Average topic popularity value (After dates filtering),Max topic popularity value (After dates filtering),Minimum topic popularity value (After dates filtering),Year of topics max popularity (After dates filtering),Year of topics min popularity (After dates filtering),Fraction of papers that were reviews in year of topics max popularity,Fraction of papers that were reviews in year of topics lowest popularity,Average topic reviews popularity value (After dates filtering)
FACS,1950,1976,0.24,0.99,0.01,0.01,26,44,42,50.16,79.32,7.8,2008,1979,0.01,0.0,0.92
GABA,1947,1953,44.05,0.97,0.13,0.11,6,67,42,369.12,475.79,216.04,1999,2020,0.12,0.13,42.11
Histamine,1945,1950,53.06,0.91,0.12,0.11,5,70,42,324.78,574.29,87.32,1985,2020,0.07,0.15,37.08
Insular cortex,1946,1952,0.49,0.94,0.07,0.06,6,68,42,17.15,32.25,2.49,2018,1980,0.07,0.0,1.27
LSD,1950,1955,2.19,-3.9,0.16,0.13,5,65,42,19.85,38.28,12.2,1979,1992,0.04,0.08,1.7
MRI,1947,1964,152.84,0.93,0.16,0.14,17,56,42,1996.95,3345.91,4.25,2013,1979,0.11,0.0,255.81
Medulla oblongata,1945,1950,7.79,0.94,0.04,0.04,5,70,42,134.82,238.8,27.87,1984,2020,0.07,0.08,6.47
Mononucleosis,1945,1950,3.41,1.0,0.11,0.1,5,70,42,27.22,66.28,8.03,1981,2018,0.12,0.16,3.43
NGS,1966,1985,0.0,-135.0,0.0,0.0,19,35,35,35.68,205.21,0.24,2020,1991,0.12,0.0,5.04
Norepinephrine,1946,1951,47.94,0.68,0.07,0.06,5,69,42,495.23,984.44,129.16,1984,2020,0.06,0.14,35.8
Orbitofrontal cortex,1945,1950,7.3,-2.02,0.18,0.16,5,70,42,178.59,375.57,12.05,2013,1979,0.1,0.03,17.68
PCR,1964,1970,11.92,1.0,0.05,0.05,6,50,42,1603.88,2849.55,3.21,2006,1980,0.02,0.0,34.5
Prefrontal cortex,1945,1950,7.3,0.23,0.19,0.16,5,70,42,167.92,353.57,9.93,2015,1979,0.1,0.04,16.61
RNA,1945,1950,145.54,1.0,0.05,0.05,5,70,42,3791.73,4945.07,1555.58,2006,1982,0.06,0.05,223.39
