ICD10,f41202,All
Q916,0,1
V923,0,1
T840,2000,2116
M514,4,40
G318,58,179
M2552,86,126
D372,37,71
G98,26,38
T093,8,16
S867,1,3
K068,196,239
M7935,2,3
T603,5,5
E798,0,2
M4802,241,516
D376,52,83
K626,262,514
T810,2736,6399
M849,30,38
F311,141,152
M8980,2,5
V402,0,1
E880,19,289
M9115,6,17
J64,1,22
H662,19,22
W573,0,2
K146,16,29
S090,21,29
B309,4,10
K938,0,6
N778,0,3
M9409,8,18
Z726,0,7
M7780,1,1
D221,253,295
N119,62,138
W949,0,1
M246,10,17
H201,9,43
L248,1,4
M1099,27,1873
S200,5,16
V090,0,23
K271,0,1
M1903,63,74
Z208,5,19
Y407,0,16
D104,15,18
T619,0,1
C493,44,57
M8544,3,5
S499,61,177
L931,4,16
O460,0,2
M7987,165,279
B332,6,13
O439,3,25
M4627,2,4
T008,9,26
C900,601,701
O340,5,19
M340,14,14
N055,11,22
O089,3,4
T171,3,3
I159,1,39
M6152,1,1
V182,0,174
T846,368,420
C460,1,14
T534,1,1
G009,46,52
M8444,2,2
D412,18,45
T207,1,1
M6018,0,1
T346,1,1
C724,1,2
N300,129,169
M1314,4,4
S9290,7,10
X086,0,1
T202,34,52
R845,10,90
K222,1317,2272
J310,357,946
M926,44,69
C318,0,1
X795,0,1
Q808,0,1
H549,4,261
V783,0,6
V069,0,1
Y413,0,1
E713,2,6
M9061,0,9
V845,0,1
S643,84,131
Z832,0,55
C468,0,1
P020,1,1
M170,1177,1572
K034,1,2
K611,36,46
A89,3,4
V375,0,1
M9426,29,88
Y100,0,8
I270,119,570
A398,6,8
H279,5,5
M2139,1,3
M8528,0,3
M6597,135,300
M2585,52,104
W042,0,1
M9133,0,1
I803,206,313
L219,12,67
M9933,0,1
W2130,0,2
R090,26,274
S1270,53,70
G461,0,2
M8585,8,58
E118,24,80
M841,122,134
H663,237,286
I151,2,112
M8881,0,2
K632,148,297
M832,2,4
M774,141,283
W223,0,32
Z421,2287,2377
I959,259,4218
M7921,5,7
W848,0,1
Q104,2,2
D821,13,16
W1262,0,1
Q243,0,4
S948,0,1
R260,37,115
Z030,15,30
T041,1,1
V789,0,3
W502,0,13
S911,48,71
M4805,8,17
S8241,2,3
S0630,63,117
A082,2,3
N133,524,1483
Z031,673,909
F700,2,3
H402,648,833
V709,0,1
M0026,6,6
M8520,0,18
M0098,3,4
S460,91,129
T792,5,6
S368,2,7
H118,57,79
M7131,2,3
H335,173,195
M1915,2,4
M1007,25,37
W230,1,200
K818,32,34
T444,0,5
H671,0,1
Z138,2043,3162
M4716,18,21
S902,2,4
O260,1,29
E881,11,25
R438,15,48
Y140,0,4
F239,105,133
N428,370,734
V764,0,2
S290,8,11
M8686,3,19
Z8502,0,1
M251,1,2
J60,4,22
M8191,2,9
M6252,1,6
Q225,3,13
Z700,0,2
O263,6,12
N362,152,261
G825,28,103
D002,3,7
K075,6,9
O100,53,81
N350,7,8
A401,10,27
M652,10,15
Q822,13,26
T835,81,148
D117,46,51
L531,2,3
M7196,9,11
F165,1,1
G251,6,18
D758,84,190
H446,1,1
E275,2,7
M6291,2,6
M7914,0,1
M1993,206,328
M7920,18,37
T205,1,2
M8939,1,2
M6658,1,1
C798,216,831
Z888,2,6010
M0236,1,1
Q646,1,1
W510,0,9
K929,231,281
B232,5,7
G632,3,489
T369,1,5
W268,0,19
N508,1838,2543
M880,2,5
W2982,0,1
D818,1,1
D500,156,627
M8967,2,2
N518,0,7
X688,0,1
S649,3,7
D103,222,243
M759,104,124
S862,20,23
S7220,98,105
W006,0,3
Y554,0,13
L722,13,13
M2599,13,15
R876,1511,1672
G462,0,8
M8547,5,8
T936,0,8
C719,242,360
K630,35,81
C571,1,2
W013,0,274
F185,1,1
A154,0,1
M0606,19,26
M0685,1,1
M8784,0,1
X198,0,1
Z351,24,278
X6108,0,3
X6509,0,1
K562,286,722
M7959,1,1
M45X1,0,4
K081,175,195
M1239,4,23
M8998,26,47
M485,6,34
D838,3,4
L570,1765,2435
V814,0,20
R869,17,26
O715,1,21
M8907,32,36
D010,17,164
M1986,2,5
M8108,2,3
Y462,0,40
M953,2,18
K140,254,343
Y493,0,12
Z938,0,42
V298,0,18
V409,0,1
L405,325,846
G908,8,15
M0284,1,2
M8926,1,1
S4201,7,7
Z608,0,30
Y535,0,2
H320,0,5
Z912,0,28
H260,108,111
R933,1097,1646
C111,8,9
G441,13,15
X848,0,2
N258,24,67
C929,11,30
M6524,3,3
I029,0,2
L519,40,58
M7060,0,1
Y560,0,86
Z981,2,667
T431,10,16
M8046,0,1
Y340,0,4
M4057,1,5
Z21,5,115
T379,0,2
A483,5,9
V954,0,1
F142,2,11
V891,0,1
M816,0,4
Z651,0,2
I068,0,3
B889,0,2
Z865,2,1141
C059,20,28
E231,1,3
Q106,0,1
W882,0,1
S112,1,3
F172,1,965
M9100,0,1
M8109,8,25
W840,0,3
M1912,9,16
Z945,0,21
M959,6,42
E789,1,268
O362,5,9
B377,5,28
F000,11,38
M4113,0,1
M0682,2,3
O745,1,11
M662,52,59
K838,436,1105
L709,7,33
J155,12,27
Z639,1,9
H628,2,2
Z944,2,129
Y020,0,1
K079,29,29
Y453,0,385
X422,0,20
C179,48,92
O221,3,12
I301,56,62
Z824,3,15857
V593,0,2
F512,0,1
S688,1,1
R430,13,35
Y103,0,1
G970,11,40
H579,125,148
M8721,2,3
K591,150,254
S0600,125,150
M8500,1,122
M969,8,21
L118,2,2
M8724,0,6
Z206,0,1
M4360,1,1
O211,34,37
M1917,180,208
M7992,4,5
D214,11,19
H498,7,13
M8684,1,3
O440,75,108
J300,12,29
M031,0,1
A666,0,1
Z924,7,1664
H352,38,90
M0844,0,1
Y008,0,5
S145,3,4
D869,106,479
T407,2,6
Q158,1,1
D899,18,29
M7723,1,1
F050,19,49
X444,0,1
S633,35,43
Y040,0,92
Y773,0,27
M8090,28,292
O001,271,272
O200,602,610
J392,427,618
D261,93,182
M9485,14,22
M8388,1,1
G443,17,19
M766,98,115
I800,240,296
K811,1289,1517
C852,10,12
B573,0,1
K008,9,12
Z633,0,5
W1889,0,1
F313,90,109
M1281,1,2
Y000,0,24
V962,0,7
X510,0,3
F320,80,152
M7134,27,31
K319,392,882
K710,6,13
K409,16240,16781
M6596,189,910
M0621,1,1
T263,1,1
N904,179,279
F680,0,1
T371,1,1
N905,54,395
L411,7,8
Z590,0,55
H500,206,241
W085,0,6
J301,27,974
S960,3,8
M4826,1,2
I743,496,672
L270,141,487
M6591,30,299
C166,30,35
W224,0,74
M1907,427,572
G460,0,5
G598,0,1
R482,0,6
F111,0,36
V98,0,7
M8439,1,1
R529,208,345
Z769,103,104
E232,29,114
F388,4,10
Z585,1,14
M5330,1,1
O693,0,8
S017,66,112
S208,114,226
N900,23,28
G378,23,34
M7659,0,1
L548,0,1
S670,151,192
W849,0,30
T467,1,5
G634,0,2
M0081,1,1
Y880,0,12
Q501,1,6
S152,1,1
N202,384,419
F328,14,35
A881,2,2
H604,34,38
G724,14,25
D250,1076,1619
Z993,0,658
H801,4,4
N979,948,1171
Y002,0,1
F019,38,229
A600,14,40
Z875,4,244
Q789,1,5
F628,1,3
X175,0,1
M8088,17,30
V433,0,1
F258,1,2
G702,3,3
Q103,4,6
M6626,2,4
S081,11,11
W5181,0,1
R822,0,1
Y97,0,2
S354,1,1
M2422,3,4
M247,4,33
W579,0,396
M0360,0,1
S418,8,10
M0012,1,1
M9484,0,2
S750,4,8
A492,13,32
L640,0,2
S271,12,31
O102,4,6
X505,0,21
M331,42,56
Q769,0,1
A180,15,22
S400,28,122
M2177,0,2
Z224,0,2
D134,17,41
M174,19,23
I394,0,2
M6250,7,25
T212,25,47
X673,0,1
S3210,28,96
S8230,467,496
C260,73,151
V432,0,1
D689,43,273
L688,3,6
M5494,61,99
D252,314,825
M7929,38,78
A411,46,194
S607,6,23
R870,7,8
O035,1,1
S8210,533,595
N940,16,30
Z911,0,694
D234,302,379
M5492,20,31
M8780,0,6
K828,223,1313
F011,5,16
C847,4,4
I300,3,5
L441,1,4
C502,701,1334
E128,0,1
M7984,151,236
T189,36,44
O688,435,654
Q781,2,5
R579,2,28
I011,4,4
O261,0,1
M5321,1,2
M359,48,181
W415,0,1
L720,2467,2738
M1127,2,9
Z759,1,4
M8988,22,44
M6115,1,1
G249,91,194
Z128,156,198
M8901,7,8
R402,98,439
K661,20,69
Z362,57,71
T887,135,300
E670,0,2
M8340,0,2
J670,1,6
X046,0,3
M533,302,330
M6745,1,1
Z584,0,7
M2455,4,20
I978,16,82
M995,3,5
V423,0,1
X653,0,2
M8404,34,40
C441,1371,1748
R894,3,9
M179,12041,18932
Q928,0,4
M7940,0,2
X150,0,14
H357,62,121
M955,1,2
M601,0,1
J383,651,741
V938,0,5
X625,0,3
M7757,33,61
M7902,1,1
M8614,1,4
W132,0,4
Q670,4,4
W640,0,13
C690,24,27
L512,3,5
C728,1,1
I778,60,132
Q713,0,3
X839,0,9
F429,15,137
L851,17,29
S0200,52,132
S498,9,19
I250,39,71
M7961,53,95
O830,3,4
M7687,21,29
Z973,0,47
E512,14,21
W159,0,12
G250,20,213
Z578,0,25
N368,225,382
M0890,1,3
F20,3,5
U510,0,115
Y465,0,9
T415,0,1
J030,4,7
M7135,1,1
D129,87,128
T825,179,317
M7973,0,1
M8904,42,47
E310,5,11
Q839,6,6
N181,3,36
M9983,1,13
G600,31,101
K115,313,343
R193,1,3
Q409,1,4
W1981,0,1
S580,0,1
H198,0,1
K529,12509,19128
T679,0,1
N082,0,9
W648,0,8
W1822,0,1
B89,0,2
L292,120,158
Z965,0,9
L100,9,12
I440,176,1186
M704,177,203
V179,0,10
M8680,0,2
M4049,0,2
R091,370,585
Y833,0,444
S0660,138,237
C434,105,149
M8722,0,3
Y502,0,7
S699,106,198
W160,0,1
Z640,4,67
L300,4,12
H808,5,6
L852,2,2
M173,123,145
O311,4,8
H602,14,16
M6511,1,1
M7128,0,2
X615,0,7
B901,0,1
M0091,27,34
T951,0,10
D211,212,228
R930,35,170
J013,2,4
M713,23,44
L949,8,30
X176,0,3
A849,1,1
M8155,1,1
J210,2,3
M540,7,13
S548,2,4
B308,0,3
X838,0,1
P038,1,1
M8885,1,12
M0760,0,2
K522,29,39
A90,5,8
M329,138,466
Q630,7,169
H169,37,60
H251,5333,5834
K238,4,32
T932,4,344
Z279,1,3
S243,0,1
Z431,215,248
X291,0,1
S644,299,472
M1125,1,3
S8280,2125,2194
E115,191,392
J439,213,1985
O871,4,7
A061,4,6
F515,2,17
Y406,0,15
B941,0,5
G578,172,213
M6269,4,5
F199,2,8
N736,678,3169
U500,0,2
K730,1,1
M1399,64,4988
Q832,1,1
Q524,4,13
N069,3,6
Y283,0,2
M7237,2,2
B09,3,7
S558,0,1
S728,4,6
M8419,5,5
Q504,66,195
M2479,0,1
G551,94,4025
K028,118,125
Q428,0,1
O411,5,23
K135,16,21
M4809,86,316
M7193,2,2
W875,0,1
M0747,0,1
W200,0,68
Q659,3,7
Q308,3,4
K716,10,18
X679,0,27
S936,7,14
W043,0,1
O243,1,2
G708,5,9
Q386,7,14
M0538,0,1
M4020,1,3
E569,1,7
V929,0,10
K257,216,345
H481,0,6
S376,0,3
Y024,0,1
I432,0,1
S3681,3,4
L83,65,119
T507,1,1
M4109,0,1
A549,1,1
M918,0,1
M5468,1,1
M5497,62,70
M4127,1,2
Z032,80,103
M6260,3,4
D570,24,27
R190,805,1367
T909,1,152
W500,0,21
J82,41,69
T902,3,238
D291,71,95
S203,21,43
W0148,0,2
G919,83,388
M439,0,19
Q514,1,12
Y0449,0,5
M5440,2,2
Y422,0,16
M938,42,87
F23,0,1
N360,57,122
M1918,3,4
M465,1,1
M4819,2,6
P700,0,2
R031,33,1291
K930,0,13
H708,10,15
M45X7,3,7
Q209,1,2
S053,26,31
K712,5,6
M8119,1,1
B451,3,5
M0021,0,1
E519,0,2
J848,31,61
I425,4,11
K909,130,218
M5446,250,273
D479,28,58
L503,2,6
K264,252,298
Q268,0,2
C178,2,4
W017,0,10
J353,3,3
M1315,1,5
H730,4,8
M4292,1,1
S3690,1,3
I431,0,22
K0522,0,1
I472,555,1039
M9070,2,12
T382,1,1
J330,1095,1328
M7781,1,1
S3721,1,3
C796,27,134
W795,0,1
S441,1,2
V4359,0,1
M429,1,4
J152,44,88
M0645,3,4
S332,1,9
T882,5,18
R835,1,7
X782,0,7
M6287,5,9
S313,6,10
Y575,0,111
G405,38,65
B832,1,2
R570,2,110
S158,1,1
K702,10,25
Q632,4,27
M753,249,397
A084,776,862
D019,0,1
X472,0,2
M4185,6,9
X9908,0,1
F531,6,6
E568,0,1
V539,0,1
N815,299,769
I861,202,303
M2512,0,1
M481,2,10
Z288,0,1
C165,53,69
M2545,46,68
V791,0,1
A493,4,5
W703,0,1
S211,17,29
B080,1,1
O689,257,409
M8617,7,14
D359,2,5
M6258,3,7
M350,113,650
Z739,24,352
K801,5820,6198
S724,27,34
K410,7,8
M4319,12,65
C838,104,192
R942,13,40
W2262,0,1
D315,4,4
F451,0,2
V471,0,4
T512,3,5
B340,1,4
P615,0,1
Z274,0,9
E069,18,66
D119,52,63
N412,10,15
L236,1,1
M7957,30,32
T390,144,270
I890,82,520
D290,24,30
W452,0,3
S7240,152,173
M1387,6,10
W2509,0,7
D413,6,9
W643,0,3
S054,4,11
X515,0,2
Q641,1,5
P968,0,1
N800,709,2233
C005,0,1
W169,0,7
N911,13,22
C227,3,27
D173,464,514
S242,0,1
C495,32,41
Q283,6,14
H472,9,70
L139,2,7
E561,2,15
X818,0,3
I722,6,35
W560,0,1
A187,1,3
W2603,0,3
Q232,0,1
V234,0,271
K044,86,93
M0633,5,9
S7230,128,160
G570,19,31
M2109,1,3
M4344,1,1
V139,0,113
T441,0,2
Y050,0,1
M621,2,5
M928,2,2
I38,71,482
X008,0,1
M1300,52,178
A028,1,1
M6006,1,3
M1282,1,1
M549,1414,2703
Q302,1,1
G729,69,119
I401,1,2
M4896,11,19
W196,0,27
M8200,0,3
T447,79,158
W181,0,24
Z618,0,7
I352,241,386
S880,2,2
M8567,14,39
S718,1,3
R768,145,268
Q613,37,274
X4208,0,1
T950,0,8
K910,31,104
J80,22,189
O690,23,37
I446,15,112
M600,21,30
T911,1,82
V972,0,19
R478,190,869
D130,104,129
E892,2,109
M8007,0,1
W300,0,2
I725,3,6
D392,2,4
Z271,0,2
H620,0,14
C918,1,1
T952,0,37
M198,35,46
T401,14,15
W550,0,89
K519,2593,3397
O11,14,22
Q602,1,31
M5392,1,3
T319,2,2
K070,17,19
H133,2,14
H030,0,1
S708,17,37
M228,121,250
M1307,1,3
M2572,38,89
C967,2,3
Z282,0,3
M4617,6,7
M011,0,1
Y723,0,3
N189,466,3115
M4717,5,5
M2532,4,4
M1319,1,2
S3790,1,7
W660,0,2
G560,11352,11843
X0999,0,1
M0733,0,6
Q650,4,8
K255,35,39
S0201,9,10
Y0088,0,1
S049,0,1
M257,152,530
V978,0,3
M0636,5,7
K520,59,97
M1922,4,6
M413,3,8
A185,2,2
M0296,12,14
E702,2,3
R450,1,59
H471,39,84
M142,2,16
Z120,139,158
H810,183,662
Y466,0,31
A368,0,3
D329,125,272
E643,0,2
M8615,2,2
K413,112,120
Y750,0,2
G563,30,53
R633,15,62
T414,0,3
C689,10,20
X590,0,143
H477,0,2
O860,44,104
D023,1,3
T024,18,23
F810,1,5
W297,0,1
M2486,58,93
K603,1418,1562
X804,0,1
R278,31,136
M778,6,7
M894,0,2
D260,103,157
C782,328,682
B338,6,13
O333,1,2
G720,8,34
L505,0,3
X1982,0,1
J039,627,708
L711,61,68
F209,158,599
M5423,20,32
N23,2069,2346
K738,8,18
N804,16,47
M4306,29,73
N901,23,25
A178,4,5
V809,0,41
S043,0,2
S984,1,2
R830,0,1
F182,0,1
N848,15,34
H404,19,34
H539,155,452
H590,13,16
X5089,0,1
R102,1094,1625
S869,51,57
H131,0,14
M8598,1,6
D292,14,17
M609,13,34
S030,10,15
Q551,1,1
M6743,52,54
D811,1,1
L816,3,6
M6516,4,6
C64,1063,1397
M8430,1,1
Z806,0,77
X059,0,1
D334,20,43
L501,8,39
O757,44,208
Z434,70,90
Z392,68,74
H191,2,45
T213,29,40
W492,0,2
M4657,0,1
K870,0,1
R092,16,157
G728,16,34
C476,1,1
M9940,0,3
D892,188,307
Z900,5,257
S729,13,17
S362,2,3
Y300,0,2
M6599,10,31
L279,3,5
F319,256,1030
Z898,0,12
W443,0,1
S578,2,2
M7963,138,207
N998,115,227
M0097,28,36
C023,7,8
V230,0,9
Z750,1,13
F102,475,2291
J704,5,12
Z302,7744,8288
M4939,0,1
V270,0,12
S4290,70,77
H179,23,87
M2331,62,98
Y812,0,17
V434,0,3
S026,46,57
M0687,2,2
Z511,43,13840
V1849,0,2
Z821,0,34
Q320,0,1
J46,300,351
J949,7,11
M4892,4,13
V192,0,3
A560,2,9
S5221,12,16
Z361,42,58
E791,0,2
T251,2,3
F129,0,6
E242,4,31
W542,0,1
H150,12,25
L84,115,343
M5415,2,3
M653,1870,2092
J980,145,326
Z930,0,257
D331,5,8
M7938,3,7
S722,12,14
M8937,27,39
S5210,276,377
F21,6,10
I371,5,108
C183,172,228
M4320,0,1
M6198,0,1
H348,359,488
J170,0,64
M842,14,15
X299,0,3
C957,0,1
T181,337,351
L740,0,5
W1809,0,6
G602,1,3
M8055,0,1
O361,8,29
D191,3,4
I979,2,9
K743,114,258
K912,19,45
S3710,0,2
E233,3,7
H659,315,353
D24,1621,1797
M4290,0,2
S969,16,26
T938,2,126
M6594,104,208
S408,8,41
S854,0,2
R948,12,41
N812,3279,4526
L813,2,4
H938,25,47
G911,30,108
K902,0,2
R855,25,168
K021,30,38
T312,2,9
S647,10,16
C443,6399,9359
C850,5,8
H652,74,88
K316,10,28
B359,0,13
H359,120,161
I359,64,185
M7605,17,19
M8994,57,66
M2592,7,9
V582,0,3
Z313,7,15
R599,193,374
T313,0,5
D014,0,1
C579,20,38
X259,0,6
Y072,0,2
O043,3,3
N950,8441,11002
Q786,2,8
C741,13,21
X5030,0,6
X5052,0,1
Y078,0,2
V356,0,1
X739,0,1
M6028,4,9
G003,4,6
I606,36,38
M8102,0,1
N081,0,8
Q935,0,3
M6583,17,31
M4898,0,1
V220,0,5
Y045,0,32
X4299,0,3
O122,10,18
D269,63,101
P371,0,2
I881,5,7
Y545,0,67
S847,0,1
T423,7,9
D592,3,4
M1001,0,1
Z246,1,5
I653,7,28
F109,27,68
X330,0,2
C631,1,1
Y510,0,4
M5399,5,9
X329,0,4
Q820,4,19
M4184,1,2
Y850,0,410
Z560,1,58
Y090,0,12
T222,29,52
M2444,19,25
W034,0,16
L502,0,5
O310,0,2
C435,663,1132
V680,0,4
Y576,0,34
Q439,7,43
L959,65,117
T782,240,274
Z088,293,312
I950,10,51
F318,13,22
S901,3,16
Q051,0,1
C422,0,1
M8920,1,1
L080,13,22
S220,72,90
I844,420,594
F104,82,137
I708,32,77
E58,3,18
J029,514,1033
B356,2,24
M9050,0,1
V460,0,1
M6533,4,4
C184,274,335
I253,35,145
B389,0,1
O994,22,51
Q458,4,18
D810,1,1
H252,8,10
J385,19,74
W133,0,6
O338,0,3
G370,0,1
I452,18,95
C258,11,17
M484,1,1
H342,89,160
J182,5,9
I872,74,237
Q555,1,1
M248,52,73
X298,0,1
T180,31,33
Z132,14,27
K449,11759,32512
K915,22,26
M2502,1,1
R857,10,60
A412,17,74
Q891,1,5
M0634,63,77
A753,1,1
H499,15,36
O208,92,96
M7955,3,4
M878,11,19
Z992,2,596
J709,1,6
H738,189,408
W879,0,14
E738,0,6
B203,8,15
G609,4,18
W144,0,1
M8110,2,8
I495,301,497
H611,93,105
R828,50,117
K658,48,153
Q518,8,42
I845,477,1138
H720,194,231
C022,17,32
B171,68,143
W050,0,39
N858,828,2929
M1000,10,12
N644,51,95
I339,14,18
M7600,1,1
I479,85,135
C003,2,3
S520,121,141
L984,112,186
T543,1,3
R899,3,7
T801,18,56
M1027,1,1
M4890,0,4
Z567,0,11
O654,19,24
M469,35,314
S9251,16,27
E270,0,1
Y460,0,1
D381,108,154
J703,2,2
M6642,1,3
V214,0,2
G630,0,6
M2573,7,21
S129,15,17
V836,0,1
K043,2,2
S6270,40,53
O862,8,39
M8688,4,5
C480,49,59
T819,83,145
S3731,2,2
C410,24,30
C966,1,3
D220,170,207
I616,18,21
G918,13,27
M626,10,15
W187,0,1
I412,0,1
H541,1,30
F110,3,11
M6289,25,76
A047,251,793
K289,23,44
S015,247,452
Q373,1,1
Z703,0,1
V185,0,11
W198,0,357
H044,46,68
N63,1766,1943
T698,1,2
M0700,0,2
M1192,1,1
W5558,0,1
L811,2,6
K227,2401,3092
Q528,4,10
V8542,0,1
D093,4,6
S9230,179,324
Z539,404,3335
W010,0,2017
X196,0,1
S808,76,199
T497,2,3
X102,0,5
M7203,1,1
M6003,1,1
M1207,1,1
D600,0,3
R680,5,99
M942,16,31
C926,1,3
V102,0,5
V426,0,2
H045,1198,1354
T914,0,6
C182,454,578
Y110,0,8
V010,0,7
M672,27,101
S3760,0,5
Z043,43,561
Q264,3,9
C512,0,1
C348,12,28
M7136,7,8
F526,4,6
R390,4,25
E671,0,1
O101,1,1
O642,8,14
M8568,8,16
M4647,7,14
C768,1,3
O908,70,129
S651,10,44
A590,0,1
Z364,53,102
O441,122,140
M809,19,53
W578,0,35
M146,9,92
M2384,9,18
B814,0,1
S849,1,2
M8442,9,15
O349,4,9
Y543,0,127
B670,1,1
M015,0,2
M844,16,22
T794,0,10
M633,0,1
M510,281,335
T481,1,2
D311,2,2
N843,53,79
S841,4,12
K627,232,375
L030,486,694
M8891,0,1
J069,601,1022
H749,56,57
O141,62,73
K570,36,65
D355,2,2
L744,1,3
X614,0,9
L298,13,49
A083,27,33
I7011,0,1
M4322,0,8
M2541,11,25
Y900,0,1
W108,0,166
R92,46,61
S6311,1,1
Y570,0,1
V093,0,9
Y563,0,17
L400,120,177
Z516,3,40
M2539,1,4
T378,7,21
Q149,1,1
M0609,43,181
C670,48,61
E619,0,1
Y0389,0,1
C161,18,25
N40,7139,13497
H601,104,140
B820,4,16
Y046,0,1
X618,0,26
M1984,6,8
F023,8,55
Y151,0,1
Y481,0,2
R060,3462,7408
M2421,18,34
M608,6,12
H132,0,3
M0005,4,4
W220,0,288
M6021,0,2
M018,0,1
M9041,0,1
M1923,5,10
N810,35,69
B650,3,3
W5799,0,7
M418,6,23
M8931,1,3
X501,0,3
Y432,0,9
X491,0,1
M4646,50,74
J431,1,3
M354,7,9
Q349,0,2
M8661,3,4
M6227,0,1
X186,0,4
I99,98,180
H739,30,38
J348,2027,3223
Z512,61,14342
G112,4,7
C965,0,1
X845,0,1
M8415,101,123
A839,1,1
Z826,0,97
S5201,50,64
A429,2,7
X622,0,3
R700,12,107
C211,100,134
K091,36,38
A773,1,1
M8219,0,2
O639,127,234
I809,147,248
C913,5,6
E278,47,103
Z542,1,4
V916,0,1
C753,0,3
M9418,1,3
M8150,0,2
H547,52,326
W260,0,317
X592,0,34
H332,1086,1173
N951,155,228
X4291,0,1
F929,0,1
M8412,123,133
M665,15,22
C088,1,1
S3780,0,5
V336,0,2
R931,99,341
D150,40,45
M462,4,12
M2413,68,89
W071,0,10
S348,2,3
S532,4,11
S807,12,40
Z874,82,8616
S924,13,18
D819,3,4
Z893,0,1
G308,8,23
J635,0,1
W2608,0,2
M1908,6,14
M2347,0,1
E740,5,13
V183,0,26
K109,19,22
S210,4,7
O353,4,7
O910,0,1
W153,0,1
O149,179,265
S312,5,12
B487,0,5
X648,0,8
M7799,3,10
W79,0,1
M6256,6,17
W1029,0,1
M154,7,19
D313,8,58
Z033,208,332
X512,0,1
T221,10,20
D508,1575,2949
T318,0,2
M6646,36,40
C140,34,60
N888,318,1224
M5413,4,6
Q912,0,2
E289,3,3
M434,1,5
M075,0,8
W670,0,1
D301,5,5
S947,1,1
W035,0,5
R010,3,125
H510,1,2
M8423,6,6
Q554,6,11
H331,26,84
M6000,1,3
X7899,0,2
T739,0,1
W2399,0,2
B909,0,13
O140,70,105
M541,155,218
A183,7,14
I7000,16,118
E618,2,3
M7197,7,16
C675,93,120
M5394,0,1
M0090,18,22
V175,0,1
D304,12,12
S8281,73,79
D448,15,23
Z040,1,4
N970,8,12
M232,1774,1952
Q378,3,4
X4409,0,2
Z934,0,165
M4626,13,18
W190,0,1653
I676,4,6
A155,0,1
M205,1102,2034
I499,388,1092
Q031,0,3
Y494,0,7
N085,1,99
M7181,0,15
D610,8,19
M5487,6,9
Q872,2,13
O879,1,9
N818,139,524
K351,230,256
S698,13,30
D015,5,10
M6645,6,7
T811,12,63
C257,18,20
K721,4,21
D144,2,2
T485,3,9
W120,0,5
M8691,6,8
Z768,17,65
Q434,0,1
M868,6,16
G934,49,160
D371,96,141
T678,0,1
M9074,0,1
M112,22,73
V780,0,1
K559,161,296
Y089,0,17
M0020,2,2
F134,0,1
M8482,1,2
N040,13,15
F068,9,15
X411,0,3
T426,284,473
M1121,3,8
M7022,105,125
Z892,0,39
Q447,3,12
M8449,0,1
J381,317,344
M7260,4,4
R227,16,27
M8100,7,10
M1916,4,6
K731,5,7
H368,3,10
W188,0,187
O842,13,13
M7191,4,9
C328,2,5
S949,0,2
V819,0,3
I983,18,41
M7986,2573,3615
I669,14,33
W340,0,3
E739,19,126
Z593,0,1
D074,43,61
O821,156,242
D157,4,5
M6082,1,1
X470,0,42
T266,5,6
X5009,0,1
S835,151,237
D432,100,159
I718,1,4
H613,69,88
A080,5,11
M8699,7,33
C319,3,6
Z935,0,206
D580,5,46
H55,19,266
W089,0,28
W292,0,2
N971,107,141
M4210,0,1
L689,2,4
T496,1,1
O458,2,3
N338,0,2
H903,40,198
M8208,0,1
F489,3,17
K901,1,2
X610,0,879
V189,0,204
Y436,0,3
N892,2,2
Q512,12,49
S309,73,144
Z353,0,4
S818,140,242
W469,0,1
T700,3,4
O269,528,566
X509,0,524
I213,61,66
S881,4,4
V294,0,13
B509,126,126
S7241,17,24
J689,1,1
M2305,2,6
H624,0,1
Q681,1,3
M009,61,75
M943,1,3
O828,2,5
E348,25,40
T781,67,125
Q313,6,8
M4195,21,73
H519,4,8
Y005,0,8
X800,0,6
F509,6,31
W2552,0,1
Y434,0,138
Z801,0,445
M8330,0,8
I498,192,420
W360,0,3
M8447,2,3
S2290,2,2
G300,21,53
M0587,1,1
V2399,0,1
D161,66,69
Y092,0,3
S9270,33,44
I458,18,72
Q249,10,56
G211,3,14
K223,26,36
M721,7,9
O920,0,2
G309,49,425
M250,12,17
H546,5,25
I729,11,37
V8000,0,1
T363,3,11
E612,11,31
X658,0,20
K900,1088,2149
F314,55,60
M9125,1,3
Z430,35,62
K230,0,1
M5329,0,2
J338,497,743
Y282,0,1
F801,20,99
M8190,167,333
D236,539,634
R501,10,40
M463,6,7
N324,4,7
O992,19,111
L571,1,2
S232,0,4
M220,21,28
W514,0,13
M2310,2,2
M7719,3,3
M7696,4,4
S568,29,42
Z005,126,128
W2792,0,1
M2494,5,6
I748,25,68
Z110,181,461
N318,746,987
C329,85,130
W2209,0,1
P059,2,2
B085,1,2
F058,7,43
X630,0,91
T871,0,1
W2099,0,1
N735,15,33
J359,69,82
B178,9,12
M2554,233,278
B374,4,56
I971,4,83
Y753,0,1
H918,23,75
D166,6,11
X312,0,1
M312,0,1
M478,442,1182
M2424,57,66
W016,0,38
W232,0,21
R072,4131,4519
W462,0,2
S369,0,1
M4122,0,1
S929,6,8
F918,1,2
R749,10,24
Q668,62,113
C494,25,35
Q810,0,2
G968,10,20
N880,4,11
Y418,0,137
D152,6,8
R64,7,53
F189,0,1
S913,146,204
V948,0,6
M0107,0,1
O212,26,37
S027,4,5
Y566,0,1
B519,11,11
