ICD10,f41202,All
Y452,0,113
X338,0,1
M4856,32,92
R492,0,1
D71,1,4
E539,3,43
W023,0,166
N072,0,1
Z390,250,372
M8643,2,2
O283,6,30
W588,0,1
J219,25,55
M5467,1,1
W348,0,2
K21,2,2
D357,1,1
X5082,0,1
O073,0,1
K114,3,6
T461,27,57
W261,0,1
R431,8,15
R846,5,14
M7629,1,1
T063,0,2
D057,40,198
Q379,11,15
K638,823,1899
I517,136,3140
T97,1,8
K441,5,17
M074,0,6
M2306,23,54
Q600,0,109
I321,0,1
A521,10,12
M5337,5,5
K290,292,528
G051,1,49
M0584,4,5
X613,0,1
F410,173,846
D805,2,3
M5438,34,51
S8251,16,21
E852,0,6
M502,247,415
M2197,8,15
D061,15,436
M663,18,24
S678,16,21
R301,12,35
I658,6,11
L573,2,4
M8697,139,215
G912,41,50
Y200,0,1
Z715,0,2
V431,0,3
H509,302,338
D282,29,62
M495,1,23
M1301,0,1
M911,6,28
Q610,9,148
W256,0,13
T509,291,369
M131,16,17
L138,3,5
S025,81,122
Z433,397,457
Z380,7,46
Z899,0,28
N165,0,10
O904,2,5
E786,0,27
D860,108,268
Q603,0,10
W070,0,241
M4723,6,7
S4280,16,19
V129,0,2
J200,1,1
M145,0,7
W9999,0,1
S327,6,10
Z368,548,591
M1305,2,4
T738,0,1
M913,0,2
M9131,0,5
T799,2,3
Z526,1,2
Z958,1,2267
M6581,8,22
M6217,6,6
X490,0,55
O029,9,9
V8372,0,1
S5271,9,10
J929,51,516
Z915,12,1460
X309,0,1
M5435,6,6
A039,8,10
F251,37,39
M4906,0,3
W306,0,2
W222,0,44
M4652,1,1
W842,0,15
M2172,0,1
P073,2,2
M4328,1,6
L929,240,376
Z614,0,19
M2420,3,3
X769,0,1
M45X0,49,83
M4712,120,152
M899,168,237
Q011,1,2
D695,25,90
Z136,506,1445
Q348,1,3
J328,109,178
R760,19,34
F315,37,41
I341,203,638
M7214,15,18
S241,9,17
Z903,0,453
S273,7,27
E055,7,9
K052,58,88
N358,63,83
X790,0,4
M6238,0,1
X871,0,2
M2117,42,81
T038,0,1
Y0899,0,3
L663,1,2
D350,141,230
Z231,0,2
M8664,5,6
M2339,123,178
X480,0,6
O234,103,170
H678,0,1
O030,8,8
D720,0,2
A418,80,232
T542,1,4
X396,0,1
S552,0,2
I249,248,567
R936,8,23
E559,45,641
I664,2,23
Z548,3,18
C380,2,2
S307,2,11
M1046,1,2
M7666,40,49
I358,34,161
Y415,0,41
Q669,11,14
V265,0,1
I779,177,283
E273,15,34
E260,54,88
Q253,2,14
J702,1,1
N430,3,7
K558,20,63
M4902,0,1
S3230,34,68
Z400,689,790
A818,2,2
M8427,5,6
N608,340,416
S221,10,15
Y537,0,1
Z113,5,5
L906,5,6
T257,1,1
X120,0,38
W5409,0,1
S551,5,15
M6092,1,2
C152,2,5
M625,3,21
O294,1,1
T824,51,68
L308,85,131
D529,83,232
G802,3,26
E649,0,1
M5449,79,98
X4399,0,1
S1281,2,2
S052,23,31
S525,653,700
W708,0,1
O071,3,3
M5338,170,186
H581,0,2
D332,20,67
Y004,0,10
W140,0,9
W369,0,2
Z226,0,7
M8028,0,1
Z318,17,23
K765,0,8
I744,21,31
X129,0,13
Y424,0,11
Q605,0,1
M0528,2,3
S3241,0,1
S009,403,592
I060,14,21
D433,4,6
H408,58,105
K778,0,10
Y296,0,2
M0601,10,11
W554,0,7
M7791,58,177
S056,19,19
X586,0,1
C187,1369,1721
Q228,1,4
M5425,0,1
K861,273,534
P358,0,1
M1186,10,15
R471,71,271
M6536,1,1
J939,303,778
R896,4,10
Z491,7,282
W1090,0,1
I771,691,1027
T690,2,2
M0625,1,1
M8550,0,2
D483,10,11
L575,8,9
E243,0,1
G823,0,4
M7907,1,7
T520,2,4
F606,6,23
T856,271,402
M0750,1,3
Z124,41,93
M9250,0,1
M1385,3,5
Z955,2,7257
N709,105,179
H019,30,42
B779,1,2
M8501,1,1
Q408,1,11
L748,6,6
S012,132,274
S219,21,31
M8425,6,7
Z910,1,4093
M2396,4,6
M7156,5,8
B213,2,2
O346,8,11
K419,519,599
I318,0,5
W1109,0,1
T901,0,39
Z864,3,33542
D267,4,8
Y499,0,2
R198,1321,1951
R098,130,240
C574,2,4
X110,0,18
R941,2,7
D449,6,14
Y708,0,5
L563,5,6
W868,0,1
J668,1,1
S065,63,87
K273,9,18
M7712,309,350
N648,301,403
M6296,6,10
M7950,1,1
X0408,0,1
B689,1,1
T939,0,124
X140,0,2
W1799,0,1
M2356,5,9
F162,1,5
C942,2,2
X880,0,2
T1420,1,1
K802,7824,10364
A161,0,1
R659,0,13
M2553,283,342
W1899,0,1
I083,94,423
Y458,0,53
N899,100,129
C108,1,4
Q272,0,5
C912,1,1
F067,35,245
M8909,14,27
S7200,1462,1498
X773,0,2
N161,1,3
S832,508,574
M2342,5,8
M2325,293,367
M4341,2,4
X612,0,15
S117,10,13
E778,1,8
V455,0,2
Z604,0,7
Q968,0,1
G730,2,8
B010,6,6
B279,32,43
L728,166,183
C760,36,54
W205,0,13
H001,2053,2130
S120,1,2
A394,23,26
M5380,1,2
B955,0,322
Q388,5,8
M419,42,407
H360,152,1836
M357,6,83
C862,5,5
H699,121,149
M0802,1,1
S721,31,35
W1848,0,1
C000,20,28
T798,30,65
N819,226,311
M7006,1,1
M2153,0,1
E279,41,83
M0580,15,20
N328,3629,7698
R481,0,2
M8329,0,1
T405,8,15
V878,0,4
K118,122,150
T231,9,23
Q760,1,75
M4692,27,269
M470,2,3
Z990,0,11
M0023,1,1
Q221,5,15
I228,81,90
W749,0,3
A202,0,1
M7238,4,4
S522,13,16
M6251,1,11
Z013,7,15
N813,553,618
M7093,1,1
D563,3,177
H270,90,137
M8540,0,2
R934,128,390
L680,11,29
H920,192,367
Z978,0,304
M7795,16,22
L701,1,1
W866,0,7
H114,212,273
Y580,0,16
R17,446,1072
Y822,0,18
M4715,0,1
O988,11,33
T256,1,1
M7922,4,7
O601,3,4
Y130,0,1
X588,0,12
I269,3190,4283
K353,195,200
I702,468,649
I061,4,15
M813,0,1
G406,175,290
C420,0,1
M8720,0,93
Y517,0,321
S943,1,1
M4209,1,9
X650,0,512
M8569,0,1
Z82,0,1
Z933,4,1154
M5496,263,330
N028,66,164
T230,31,54
